area,bmmc,hdrs,zgrys,isga,yxsj
朝阳区,司法局,29,14,true,290
朝阳区,财政局,12,10,true,290
朝阳区,人社局,325,54,true,290
朝阳区,国土局,28,10,true,290
朝阳区,环保局,95,73,true,290
朝阳区,规划委,0,0,true,290
朝阳区,住建委,114,48,true,290
朝阳区,市城管委,6,1,true,290
朝阳区,交通委,0,0,true,290
朝阳区,农业局,94,77,true,290
朝阳区,水务局,71,21,true,290
朝阳区,商委,14,7,true,290
朝阳区,旅游委,7,6,true,290
朝阳区,卫计委,182,139,true,290
朝阳区,审计局,81,34,true,290
朝阳区,地税局,331,126,true,290
朝阳区,工商局,360,268,true,290
朝阳区,质监局,48,23,true,290
朝阳区,安监局,145,104,true,290
朝阳区,食药局,188,186,true,290
朝阳区,文物局,0,0,true,290
朝阳区,体育局,6,5,true,290
朝阳区,统计局,17,15,true,290
朝阳区,园林绿化局,100,6,true,290
朝阳区,知识产权局,0,0,true,290
朝阳区,民防局,18,15,true,290
朝阳区,城管局,1153,873,true,290
朝阳区,文化执法总队,25,17,true,290
朝阳区,开发区,0,0,true,290
朝阳区,公积金,0,0,true,290
朝阳区,通管局,0,0,true,290
朝阳区,邮管局,0,0,true,290
朝阳区,地震局,3,2,true,290
朝阳区,气象局,3,2,true,290
朝阳区,档案局,8,6,true,290
朝阳区,保密局,6,6,true,290
朝阳区,烟草局,0,0,true,290
朝阳区,网信办,0,0,true,290
朝阳区,外办,0,0,true,290
朝阳区,侨办,0,0,true,290
朝阳区,新闻广电局,0,0,true,290
朝阳区,文化局,0,0,true,290
朝阳区,金融局,0,0,true,290
朝阳区,地方志,0,0,true,290
朝阳区,编办,0,0,true,290
海淀区,发改委,46,22,true,285
海淀区,教委,56,19,true,285
海淀区,科委,3,3,true,285
海淀区,经信委,3,0,true,285
海淀区,民委,5,5,true,285
海淀区,公安局,0,0,true,285
海淀区,国安局,0,0,true,285
海淀区,民政局,25,16,true,285
海淀区,司法局,23,16,true,285
海淀区,财政局,17,17,true,285
海淀区,人社局,342,35,true,285
海淀区,国土局,23,23,true,285
海淀区,环保局,86,53,true,285
海淀区,规划委,0,0,true,285
海淀区,住建委,158,27,true,285
海淀区,市城管委,5,2,true,285
海淀区,交通委,0,0,true,285
海淀区,农业局,39,22,true,285
海淀区,水务局,150,20,true,285
海淀区,商委,7,7,true,285
海淀区,旅游委,5,5,true,285
海淀区,卫计委,171,131,true,285
海淀区,审计局,67,37,true,285
海淀区,地税局,415,403,true,285
海淀区,工商局,361,351,true,285
海淀区,质监局,50,30,true,285
海淀区,安监局,37,25,true,285
海淀区,食药局,177,165,true,285
海淀区,文物局,0,0,true,285
海淀区,体育局,12,7,true,285
海淀区,统计局,204,154,true,285
海淀区,园林绿化局,30,29,true,285
海淀区,知识产权局,0,0,true,285
海淀区,民防局,27,27,true,285
海淀区,城管局,881,742,true,285
海淀区,文化执法总队,30,0,true,285
海淀区,开发区,0,0,true,285
海淀区,公积金,0,0,true,285
海淀区,通管局,0,0,true,285
海淀区,邮管局,0,0,true,285
海淀区,地震局,2,2,true,285
海淀区,气象局,4,4,true,285
海淀区,档案局,6,0,true,285
海淀区,保密局,8,4,true,285
海淀区,烟草局,0,0,true,285
海淀区,网信办,0,0,true,285
海淀区,外办,0,0,true,285
海淀区,侨办,0,0,true,285
海淀区,新闻广电局,0,0,true,285
海淀区,文化局,0,0,true,285
海淀区,金融局,0,0,true,285
海淀区,地方志,0,0,true,285
海淀区,编办,0,0,true,285
丰台区,发改委,36,33,true,248
丰台区,教委,35,18,true,248
丰台区,科委,0,0,true,248
丰台区,经信委,2,0,true,248
丰台区,民委,5,5,true,248
丰台区,公安局,0,0,true,248
丰台区,国安局,0,0,true,248
丰台区,民政局,22,18,true,248
丰台区,司法局,35,12,true,248
丰台区,财政局,0,0,true,248
丰台区,人社局,134,42,true,248
丰台区,国土局,35,13,true,248
丰台区,环保局,104,41,true,248
丰台区,规划委,0,0,true,248
丰台区,住建委,62,29,true,248
丰台区,市城管委,3,0,true,248
丰台区,交通委,0,0,true,248
丰台区,农业局,74,71,true,248
丰台区,水务局,52,50,true,248
丰台区,商委,4,0,true,248
丰台区,旅游委,0,0,true,248
丰台区,卫计委,121,98,true,248
丰台区,审计局,34,34,true,248
丰台区,地税局,230,230,true,248
丰台区,工商局,281,250,true,248
丰台区,质监局,38,26,true,248
丰台区,安监局,32,31,true,248
丰台区,食药局,212,131,true,248
丰台区,文物局,0,0,true,248
丰台区,体育局,6,6,true,248
丰台区,统计局,37,37,true,248
丰台区,园林绿化局,48,32,true,248
丰台区,知识产权局,0,0,true,248
丰台区,民防局,32,30,true,248
丰台区,城管局,620,335,true,248
丰台区,文化执法总队,20,20,true,248
丰台区,开发区,0,0,true,248
丰台区,公积金,0,0,true,248
丰台区,通管局,0,0,true,248
丰台区,邮管局,0,0,true,248
丰台区,地震局,10,10,true,248
丰台区,气象局,3,3,true,248
丰台区,档案局,20,11,true,248
丰台区,保密局,7,6,true,248
丰台区,烟草局,0,0,true,248
丰台区,网信办,0,0,true,248
丰台区,外办,0,0,true,248
丰台区,侨办,0,0,true,248
丰台区,新闻广电局,0,0,true,248
丰台区,文化局,0,0,true,248
丰台区,金融局,0,0,true,248
丰台区,地方志,0,0,true,248
丰台区,编办,0,0,true,248
石景山区,发改委,25,14,true,231
石景山区,教委,17,15,true,231
石景山区,科委,3,0,true,231
石景山区,经信委,2,0,true,231
石景山区,民委,28,7,true,231
石景山区,公安局,0,0,true,231
石景山区,国安局,0,0,true,231
石景山区,民政局,11,7,true,231
石景山区,司法局,11,7,true,231
石景山区,财政局,4,4,true,231
石景山区,人社局,21,9,true,231
石景山区,国土局,21,0,true,231
石景山区,环保局,26,12,true,231
石景山区,规划委,0,0,true,231
石景山区,住建委,34,13,true,231
石景山区,市城管委,25,21,true,231
石景山区,交通委,0,0,true,231
石景山区,农业局,15,12,true,231
石景山区,水务局,31,25,true,231
石景山区,商委,12,10,true,231
石景山区,旅游委,7,0,true,231
石景山区,卫计委,60,39,true,231
石景山区,审计局,47,32,true,231
石景山区,地税局,155,140,true,231
石景山区,工商局,98,88,true,231
石景山区,质监局,27,19,true,231
石景山区,安监局,27,22,true,231
石景山区,食药局,63,62,true,231
石景山区,文物局,0,0,true,231
石景山区,体育局,4,0,true,231
石景山区,统计局,49,46,true,231
石景山区,园林绿化局,31,3,true,231
石景山区,知识产权局,0,0,true,231
石景山区,民防局,0,0,true,231
石景山区,城管局,267,225,true,231
石景山区,文化执法总队,15,11,true,231
石景山区,开发区,0,0,true,231
石景山区,公积金,0,0,true,231
石景山区,通管局,0,0,true,231
石景山区,邮管局,0,0,true,231
石景山区,地震局,6,5,true,231
石景山区,气象局,5,5,true,231
石景山区,档案局,16,15,true,231
石景山区,保密局,5,5,true,231
石景山区,烟草局,0,0,true,231
石景山区,网信办,0,0,true,231
石景山区,外办,0,0,true,231
石景山区,侨办,0,0,true,231
石景山区,新闻广电局,0,0,true,231
石景山区,文化局,0,0,true,231
石景山区,金融局,0,0,true,231
石景山区,地方志,0,0,true,231
石景山区,编办,0,0,true,231
门头沟区,发改委,33,12,true,246
门头沟区,教委,2,1,true,246
门头沟区,科委,2,0,true,246
门头沟区,经信委,4,3,true,246
门头沟区,民委,0,0,true,246
门头沟区,公安局,0,0,true,246
门头沟区,国安局,0,0,true,246
门头沟区,民政局,59,25,true,246
门头沟区,司法局,18,4,true,246
门头沟区,财政局,8,4,true,246
门头沟区,人社局,121,15,true,246
门头沟区,国土局,23,23,true,246
门头沟区,环保局,56,0,true,246
门头沟区,规划委,0,0,true,246
门头沟区,住建委,21,16,true,246
门头沟区,市城管委,9,0,true,246
门头沟区,交通委,99,96,true,246
门头沟区,农业局,45,35,true,246
门头沟区,水务局,50,49,true,246
门头沟区,商委,6,2,true,246
门头沟区,旅游委,7,2,true,246
门头沟区,卫计委,49,21,true,246
门头沟区,审计局,30,14,true,246
门头沟区,地税局,114,112,true,246
门头沟区,工商局,102,86,true,246
门头沟区,质监局,24,16,true,246
门头沟区,安监局,27,27,true,246
门头沟区,食药局,80,63,true,246
门头沟区,文物局,0,0,true,246
门头沟区,体育局,2,2,true,246
门头沟区,统计局,33,33,true,246
