area,bmmc,gwsl,zqs,sjzqs,isga,yxsj
西城区,档案局,4,17,14,true,237
西城区,保密局,6,42,42,true,237
西城区,烟草局,0,34,0,true,237
西城区,网信办,0,0,0,true,237
西城区,外办,0,0,0,true,237
西城区,侨办,0,0,0,true,237
西城区,新闻广电局,0,0,0,true,237
西城区,文化局,0,0,0,true,237
西城区,金融局,0,0,0,true,237
西城区,地方志,0,0,0,true,237
西城区,编办,0,0,0,true,237
朝阳区,发改委,7,58,50,true,290
朝阳区,教委,23,38,38,true,290
朝阳区,科委,1,1,1,true,290
朝阳区,经信委,1,9,9,true,290
朝阳区,民委,8,59,37,true,290
朝阳区,公安局,0,1259,0,true,290
朝阳区,国安局,0,7,0,true,290
朝阳区,民政局,22,247,217,true,290
朝阳区,司法局,10,78,78,true,290
朝阳区,财政局,4,302,302,true,290
朝阳区,人社局,16,141,136,true,290
朝阳区,国土局,4,0,151,true,290
朝阳区,环保局,14,332,325,true,290
朝阳区,规划委,0,0,0,true,290
朝阳区,住建委,6,676,582,true,290
朝阳区,市城管委,4,35,35,true,290
朝阳区,交通委,0,0,0,true,290
朝阳区,农业局,8,529,529,true,290
朝阳区,水务局,4,490,421,true,290
朝阳区,商委,4,250,238,true,290
朝阳区,旅游委,2,91,91,true,290
朝阳区,卫计委,13,717,703,true,290
朝阳区,审计局,4,46,40,true,290
朝阳区,地税局,11,120,119,true,290
朝阳区,工商局,30,1202,1202,true,290
朝阳区,质监局,9,441,435,true,290
朝阳区,安监局,5,420,417,true,290
朝阳区,食药局,10,692,519,true,290
朝阳区,文物局,0,0,0,true,290
朝阳区,体育局,2,28,25,true,290
朝阳区,统计局,6,44,32,true,290
朝阳区,园林绿化局,23,221,174,true,290
朝阳区,知识产权局,0,0,0,true,290
朝阳区,民防局,9,84,23,true,290
朝阳区,城管局,5,412,412,true,290
朝阳区,文化执法总队,9,682,612,true,290
朝阳区,开发区,0,0,0,true,290
朝阳区,公积金,0,0,0,true,290
朝阳区,通管局,0,0,0,true,290
朝阳区,邮管局,0,0,0,true,290
朝阳区,地震局,2,24,24,true,290
朝阳区,气象局,2,84,84,true,290
朝阳区,档案局,7,17,10,true,290
朝阳区,保密局,5,42,42,true,290
朝阳区,烟草局,0,34,0,true,290
朝阳区,网信办,0,0,0,true,290
朝阳区,外办,0,0,0,true,290
朝阳区,侨办,0,0,0,true,290
朝阳区,新闻广电局,0,0,0,true,290
朝阳区,文化局,0,0,0,true,290
朝阳区,金融局,0,0,0,true,290
朝阳区,地方志,0,0,0,true,290
朝阳区,编办,0,0,0,true,290
海淀区,发改委,10,58,51,true,285
海淀区,教委,20,38,37,true,285
海淀区,科委,2,1,1,true,285
海淀区,经信委,2,9,9,true,285
海淀区,民委,3,59,52,true,285
海淀区,公安局,0,1259,0,true,285
海淀区,国安局,0,7,0,true,285
海淀区,民政局,21,247,231,true,285
海淀区,司法局,13,78,78,true,285
海淀区,财政局,4,302,302,true,285
海淀区,人社局,23,141,131,true,285
海淀区,国土局,5,0,151,true,285
海淀区,环保局,11,349,324,true,285
海淀区,规划委,0,0,0,true,285
海淀区,住建委,9,675,728,true,285
海淀区,市城管委,4,35,16,true,285
海淀区,交通委,0,0,0,true,285
海淀区,农业局,18,528,276,true,285
海淀区,水务局,4,478,478,true,285
海淀区,商委,1,250,206,true,285
海淀区,旅游委,2,91,89,true,285
海淀区,卫计委,17,714,699,true,285
海淀区,审计局,2,46,45,true,285
海淀区,地税局,12,120,120,true,285
海淀区,工商局,30,1202,1202,true,285
海淀区,质监局,9,441,433,true,285
海淀区,安监局,10,420,419,true,285
海淀区,食药局,10,692,535,true,285
海淀区,文物局,0,0,0,true,285
海淀区,体育局,4,28,25,true,285
海淀区,统计局,5,44,34,true,285
海淀区,园林绿化局,11,221,182,true,285
海淀区,知识产权局,0,0,0,true,285
海淀区,民防局,6,84,23,true,285
海淀区,城管局,4,412,412,true,285
海淀区,文化执法总队,2,711,640,true,285
海淀区,开发区,0,0,0,true,285
海淀区,公积金,0,0,0,true,285
海淀区,通管局,0,0,0,true,285
海淀区,邮管局,0,0,0,true,285
海淀区,地震局,1,24,24,true,285
海淀区,气象局,2,84,84,true,285
海淀区,档案局,4,17,16,true,285
海淀区,保密局,4,42,42,true,285
海淀区,烟草局,0,34,0,true,285
海淀区,网信办,0,0,0,true,285
海淀区,外办,0,0,0,true,285
海淀区,侨办,0,0,0,true,285
海淀区,新闻广电局,0,0,0,true,285
海淀区,文化局,0,0,0,true,285
海淀区,金融局,0,0,0,true,285
海淀区,地方志,0,0,0,true,285
海淀区,编办,0,0,0,true,285
丰台区,发改委,7,58,58,true,248
丰台区,教委,10,38,38,true,248
丰台区,科委,0,1,0,true,248
丰台区,经信委,1,9,9,true,248
丰台区,民委,2,59,34,true,248
丰台区,公安局,0,1258,0,true,248
丰台区,国安局,0,7,0,true,248
丰台区,民政局,8,247,144,true,248
丰台区,司法局,10,78,78,true,248
丰台区,财政局,0,302,0,true,248
丰台区,人社局,13,141,133,true,248
丰台区,国土局,2,0,151,true,248
丰台区,环保局,14,349,334,true,248
丰台区,规划委,0,0,0,true,248
丰台区,住建委,8,681,685,true,248
丰台区,市城管委,2,35,3,true,248
丰台区,交通委,0,0,0,true,248
丰台区,农业局,20,529,404,true,248
丰台区,水务局,3,490,380,true,248
丰台区,商委,2,250,218,true,248
丰台区,旅游委,0,91,0,true,248
丰台区,卫计委,15,714,692,true,248
丰台区,审计局,4,46,46,true,248
丰台区,地税局,10,120,120,true,248
丰台区,工商局,30,1202,1202,true,248
